,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
3911,2083,830140,Other locks,True,,,Done,AT,483,,,,
3912,2183,830150,"Clasps and frames with clasps, incorporating locks",False,,,,AT,483,,True,,
3913,6183,830160,Parts,True,,,Done,AT,483,,,,
3914,2483,830170,Keys presented separately,False,,,,AT,483,,True,,
3915,2583,830210,Hinges,True,,,Done,AT,583,,,,
3916,2683,830220,Castors,True,,,Done,AT,583,,,,
3917,6283,830230,"Other mountings, fittings and similar articles suitable for motor vehicles",True,,,Done,AT,583,,,,
3918,2983,,"Other mountings, fittings and similar articles",True,,,Done,AT,583,,,8302410000,8302490000
3919,3083,830250,"Hat-racks, hat-pegs, brackets and similar fixtures",False,,,,AT,583,,True,,
3920,3183,830260,Automatic door closers,True,,,Done,AT,583,,,,
3921,3483,83030040,"Armoured or reinforced safes, strongboxes and doors and safe deposit lockers for strongrooms",False,,,,AT,683,,True,,
3922,3583,83030090,Cash or deed boxes and the like,False,,,,AT,683,,True,,
3923,6383,830510,Fittings for loose-leaf binders or files,True,,,Done,AT,883,,,,
3924,6483,830520,Staples in strips,False,,,,AT,883,,True,,
3925,4183,830590,"Other, including parts",False,,,,AT,883,,True,,
3926,4283,830610,"Bells, gongs and the like",False,,,,AT,983,,True,,
3927,4383,,Statuettes and other ornaments,True,,,Done,AT,983,,,8306210000,8306290000
3928,4483,830630,"Photograph, picture or similar frames; mirrors",False,,,,AT,983,,True,,
3929,4583,830710,Of iron or steel,True,,,Done,AT,1083,,,,
3930,4683,830790,Of other base metal,True,,,Done,AT,1083,,,,
3931,6683,830810,"Hooks, eyes and eyelets",False,,,,AT,1183,,True,,
3932,5083,830820,Tubular or bifurcated rivets,True,,,Done,AT,1183,,,,
3933,5183,830890,"Other, including parts",True,,,Done,AT,1183,,,,
3934,5283,830910,Crown corks,False,,,,AT,1283,,True,,
3935,5383,830990,Other,True,,,Done,AT,1283,,,,
3936,5483,831110,"Coated electrodes of base metal, for electric arc-welding",False,,,,AT,1483,,True,,
3937,5683,831120,"Cored wire of base metal, for electric arc-welding",False,,,,AT,1483,,True,,
3938,5783,831130,"Coated rods and cored wire, of base metal, for soldering, brazing or welding by flame",False,,,,AT,1483,,True,,
3939,5883,831190,Other,False,,,,AT,1483,,True,,
3940,9284,840110,Nuclear reactors,False,,,,AT,484,,True,,
3941,9384,840120,"Machinery and apparatus for isotopic separation, and parts thereof",False,,,,AT,484,,True,,
3942,63084,840130,"Fuel elements (cartridges), non-irradiated",True,,,Done,AT,484,,,,
3943,63284,840140,Parts of nuclear reactors,True,,,Done,AT,484,,,,
3944,10084,,Steam or other vapour generating boilers,True,,,Done,AT,584,,,8402110000,8402190000
3945,10184,840220,Superheated water boilers,False,,,,AT,584,,True,,
3946,63384,840290,Parts,True,,,Done,AT,584,,,,
3947,10484,840310,Boilers,True,,,Done,AT,684,,,,
3948,10584,840390,Parts,True,,,Done,AT,684,,,,
3949,10684,840410,Auxiliary plant for use with boilers of heading 8402 or 8403,False,,,,AT,784,,True,,
3950,10784,840420,Condensers for steam or other vapour power units,False,,,,AT,784,,True,,
