Unnamed: 0,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax,tariff_crawled,tariff_crawled_error_message
23157,466684,84818069,Other,TRUE,,,Done,AT,414784,,,,,,
23158,466784,84818071,Of cast iron,FALSE,,,,AT,414884,,TRUE,,,,
23159,466884,84818073,Of steel,TRUE,,,Done,AT,414884,,,,,,
23160,466984,84818079,Other,TRUE,,,Done,AT,414884,,,,,,
23161,467284,8481808130,For use in certain types of aircraft,FALSE,,,,AT,414984,,TRUE,,,,
23162,467384,8481808190,Other,FALSE,,,,AT,414984,,TRUE,,,,
23163,467684,8481808530,For use in certain types of aircraft,FALSE,,,,AT,415084,,TRUE,,,,
23164,467884,8481808590,Other,FALSE,,,,AT,415084,,TRUE,,,,
23165,468184,8481808730,For use in certain types of aircraft,FALSE,,,,AT,415184,,TRUE,,,,
23166,468284,8481808790,Other,FALSE,,,,AT,415184,,TRUE,,,,
23167,468784,8481809940,For use in certain types of aircraft,FALSE,,,,AT,415284,,TRUE,,,,
23168,469084,8481809970,"Pressure- and flow-control valve controlled by external electromagnet:<br> <br>- made of steel and/or steel alloy(s),<br> <br>- without integrated circuit,<br> <br>- of not more than 1000 kPa operating pressure,<br> <br>- with a flow quantity of not more than 5 l/min,<br> <br>- without an electromagnet<br>",FALSE,,,,AT,415284,,TRUE,,,,
23169,469184,8481809980,"Solenoid valve for combustion engine continuous variable valve timing system to control oil flow as a function of engine speed and load:<br><br>-in metal cover,<br><br>-with electrical connector,<br><br>-with a force of not more than 10 N,<br><br>-with an operating voltage of 9 VDC or more but not more than 16 VDC,<br><br>-with a length of 80 mm or more but not more than 110 mm,<br><br>-with a width of 80 mm or more but not more than 110 mm,<br><br>-with a height of 20 mm or more but not more than 30 mm,<br>for use in the manufacture of engines of motor vehicles",FALSE,,,,AT,415284,,TRUE,,,,
23170,469284,8481809990,Other,FALSE,,,,AT,415284,,TRUE,,,,
