,id,description,origin,type,measureType,geographicalArea,geographicalSigl,regulationRoleType,regulationId,regulationOrderNumber,startDate,endDate,additionalCodeId,additionalCodeText,exclusions,tariffFormula,hs_info_code,country
45,46,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,2715,AT
46,47,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2716,AT
47,48,None,ERGA OMNES,Supplementary unit,109,1011,TOUT,1,R8726581,None,01/01/2008,None,None,None,None,1000 kWh,2716,AT
48,49,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,3101,AT
49,50,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9431150,None,01/01/1995,01/01/3000,None,None,None,6.50%,3211,AT
50,51,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,3211,AT
51,52,None,ERGA OMNES,Airworthiness tariff suspension,119,1011,TOUT,1,R1815170,None,01/11/2018,None,None,None,None,0%,3211,AT
52,53,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,3211,AT
53,54,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/2005,01/01/3000,None,None,None,0%,3406,AT
54,55,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,3407,AT
55,56,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,6.50%,3605,AT
56,57,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,3605,AT
57,58,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9530090,None,01/01/1996,01/01/3000,None,None,None,5.00%,3821,AT
58,59,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,3821,AT
59,60,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R8928860,None,01/01/1990,01/01/3000,None,None,None,0%,4003,AT
60,61,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4003,AT
61,62,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,4004,AT
62,63,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4017,AT
63,64,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4017,AT
64,65,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0120310,None,01/01/2005,01/01/3000,None,None,None,3.50%,4112,AT
65,66,None,ERGA OMNES,Supplementary unit,109,1011,TOUT,4,R0120311,None,01/01/2008,01/01/3000,None,None,None,m²,4112,AT
66,67,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4112,AT
67,68,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,4112,AT
68,69,None,ERGA OMNES,Import control - CITES,710,1011,TOUT,4,R2309660,None,20/05/2023,01/01/3000,None,None,None,None,4112,AT
69,70,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/2005,01/01/3000,None,None,None,1.70%,4206,AT
70,71,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4206,AT
71,72,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,4206,AT
72,73,None,ERGA OMNES,Import control - CITES,710,1011,TOUT,4,R2309660,None,20/05/2023,01/01/3000,None,None,None,None,4206,AT
73,74,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,3.20%,4304,AT
74,75,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,4304,AT
75,76,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4405,AT
76,77,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4405,AT
77,78,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4413,AT
78,79,None,ERGA OMNES,Supplementary unit,109,1011,TOUT,1,R8726581,None,01/01/2008,None,None,None,None,m³,4413,AT
79,80,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4413,AT
80,81,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4416,AT
81,82,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4416,AT
82,83,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/2005,01/01/3000,None,None,None,0%,4417,AT
83,84,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4417,AT
84,85,None,ERGA OMNES,Import control - CITES,710,1011,TOUT,4,R2309660,None,20/05/2023,01/01/3000,None,None,None,None,4417,AT
85,86,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4502,AT
86,87,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4502,AT
87,88,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4702,AT
88,89,None,ERGA OMNES,Supplementary unit,109,1011,TOUT,1,R8726581,None,01/01/2008,None,None,None,None,kg 90 % sdt,4702,AT
89,90,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9822610,None,01/01/1999,01/01/3000,None,None,None,0%,4705,AT
90,91,None,ERGA OMNES,Supplementary unit,109,1011,TOUT,1,R8726581,None,01/01/2008,None,None,None,None,kg 90 % sdt,4705,AT
91,92,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4801,AT
92,93,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4812,AT
93,94,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4812,AT
94,95,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4903,AT
95,96,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4904,AT
96,97,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4906,AT
97,98,None,ERGA OMNES,"Suspension - goods for certain categories of ships, boats and other vessels and for drilling or production platforms",117,1011,TOUT,1,R8726583,None,01/07/2016,None,None,None,None,0%,4906,AT
98,99,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4909,AT
99,100,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R0317890,None,01/01/2005,01/01/3000,None,None,None,0%,4910,AT
100,101,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,0%,5001,AT
101,102,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,5001,AT
102,103,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,0%,5002,AT
