stt,area,page,cntyCd,baseYy,reffNoNm,prlstClsfSrno
9597,EU,5,DE,2024,DEBTI26206/24-1,3036
9598,EU,5,DE,2024,DEBTI6670/24-1,6117
9599,EU,5,DE,2024,DEBTI19211/24-1,1316
9600,EU,5,DE,2024,DEBTI27602/24-1,3480
9601,EU,5,SE,2024,SEBTITV-2024-14502,84
9602,EU,5,DE,2024,DEBTI28021/24-1,3629
9603,EU,5,DE,2024,DEBTI36160/24-1,5476
9604,EU,5,NL,2024,NLBTI2024-0839,274
9605,EU,5,FR,2024,FRBTIFR-BTI-2024-02724,281
9606,EU,5,DE,2024,DEBTI18418/24-1,1123
9607,EU,5,DE,2024,DEBTI27801/24-1,3552
9608,EU,5,DE,2024,DEBTI27731/24-1,3533
9609,EU,5,DE,2024,DEBTI35052/24-1,5277
9610,EU,5,DE,2024,DEBTI26215/24-1,3040
9611,EU,5,CZ,2024,CZBTI37/160645/2024-580000-04/01,159
9612,EU,5,DE,2024,DEBTI26227/24-1,3044
9613,EU,5,DE,2024,DEBTI20015/24-6,1486
9614,EU,5,DE,2024,DEBTI28209/24-1,3670
9615,EU,5,DE,2024,DEBTI22864/24-1,2132
9616,EU,5,DE,2024,DEBTI28931/24-1,3824
9617,EU,5,AT,2024,ATBTI2024000301-DEC,83
9618,EU,5,DE,2024,DEBTI16912/24-1,805
9619,EU,5,DE,2024,DEBTI16363/24-1,753
9620,EU,5,DE,2024,DEBTI20386/24-1,1578
9621,EU,5,DE,2024,DEBTI28353/24-1,3705
9622,EU,5,DE,2024,DEBTI20015/24-3,1483
9623,EU,5,DE,2024,DEBTI28014/24-1,3625
9624,EU,5,DE,2024,DEBTI26188/24-1,3027
9625,EU,5,FR,2024,FRBTIFR-BTI-2024-02499,247
9626,EU,5,FR,2024,FRBTIFR-BTI-2024-02897,315
9627,EU,5,DE,2024,DEBTI19734/24-1,1415
9628,EU,5,DE,2024,DEBTI22870/24-1,2134
9629,EU,5,DE,2024,DEBTI26201/24-1,3033
9630,EU,5,DE,2024,DEBTI27903/24-1,3593
9631,EU,5,DE,2024,DEBTI26246/24-1,3048
9632,EU,5,DE,2024,DEBTI24984/24-1,2685
9633,EU,5,DE,2024,DEBTI27852/24-1,3568
9634,EU,5,DE,2024,DEBTI30339/24-1,4202
9635,EU,5,FR,2024,FRBTIFR-BTI-2024-02281,205
9636,EU,5,FR,2024,FRBTIFR-BTI-2024-03686,530
9637,EU,5,FR,2024,FRBTIFR-BTI-2024-03462,457
9638,EU,5,FR,2024,FRBTIFR-BTI-2024-03862,613
9639,EU,5,DE,2024,DEBTI13183/24-1,341
9640,EU,5,FR,2024,FRBTIFR-BTI-2024-04069,697
9641,EU,5,FR,2024,FRBTIFR-BTI-2024-04561,972
9642,EU,5,BE,2024,BEBTIDT.50.014.899,12
9643,EU,5,DE,2024,DEBTI31966/24-1,4566
9644,EU,5,DE,2024,DEBTI31761/24-1,4531
9645,EU,5,DE,2024,DEBTI32561/24-1,4719
9646,EU,5,FR,2024,FRBTIFR-BTI-2024-02183-04,184
9647,EU,5,FR,2024,FRBTIFR-BTI-2024-02183-03,183
9648,EU,5,FR,2024,FRBTIFR-BTI-2024-03687,531
9649,EU,5,FR,2024,FRBTIFR-BTI-2024-04122,734
9650,EU,5,FR,2024,FRBTIFR-BTI-2024-03027,356
9651,EU,5,FR,2024,FRBTIFR-BTI-2024-03293,410
9652,EU,5,FR,2024,FRBTIFR-BTI-2024-03773-02,573
9653,EU,5,FR,2024,FRBTIFR-BTI-2024-02194,187
9654,EU,5,FR,2024,FRBTIFR-BTI-2024-03613,507
9655,EU,5,FR,2024,FRBTIFR-BTI-2024-03773-03,574
9656,EU,5,FR,2024,FRBTIFR-BTI-2024-04579,983
9657,EU,5,DE,2024,DEBTI29294/24-1,3915
9658,EU,5,DE,2024,DEBTI31429/24-1,4448
9659,EU,5,FR,2024,FRBTIFR-BTI-2024-02183-02,182
9660,EU,5,DE,2024,DEBTI23714/24-1,2358
9661,EU,5,FR,2024,FRBTIFR-BTI-2024-03963,654
